city;district;microdistrict;street;building;area;floor;num_of_rooms;price;url;picture
Челябинск;Металлургический;;Коммунистическая;5;46;5;1;12500;https://arenda-022.ru/sdam/kvartira-kommunisticheskaya-ul-5_1620214010;https://arenda-022.ru/images/upload/2021_05_8243_196125_Челябинск.jpg
Челябинск;Тракторозаводский;;Трашутина;9;43;5;1;8000;https://arenda-022.ru/sdam/kvartira--trashutina-9_1620221256;https://arenda-022.ru/images/upload/2021_05_1826_918227_Челябинск.jpg
Челябинск;Калининский;;Братьев Кашириных;131;46;1;1;15000;https://arenda-022.ru/sdam/kvartira--bratev-kashirinyh-131_1620263860;https://arenda-022.ru/images/upload/2021_05_3723_152311_Челябинск.jpg
Челябинск;Калининский;;Братьев Кашириных;138;51;7;2;13000;https://arenda-022.ru/sdam/kvartira--bratev-kashirinyh-138_1620188599;https://arenda-022.ru/images/upload/2021_05_4946_503467_Челябинск.jpg
Челябинск;Тракторозаводский;;1-я Эльтонская;11;41;7;1;11000;https://arenda-022.ru/sdam/kvartira-1-ya-eltonskaya-ul-11_1620189273;https://arenda-022.ru/images/upload/2021_05_8000_992703_Челябинск.jpg
Челябинск;Центральный;;Сони Кривой;77;33;5;1;12000;https://arenda-022.ru/sdam/kvartira--soni-krivoy-77_1620196136;https://arenda-022.ru/images/upload/2021_05_1533_843165_Челябинск.jpg
Челябинск;Курчатовский;;Островского;34;43;1;2;13000;https://arenda-022.ru/sdam/kvartira--ostrovskogo-34_1620186236;https://arenda-022.ru/images/upload/2021_05_5272_81440_Челябинск.jpg
Челябинск;Калининский;;Братьев Кашириных;12В;93;6;3;40000;https://arenda-022.ru/sdam/kvartira--bratev-kashirinyh-12v_1620188738;https://arenda-022.ru/images/upload/2021_05_8518_983281_Челябинск.jpg
Челябинск;Тракторозаводский;;Чоппа;7;29;8;1;10000;https://arenda-022.ru/sdam/kvartira--choppa-7_1620186802;
Челябинск;Калининский;;40-летия Победы;52;48;5;2;15000;https://arenda-022.ru/sdam/kvartira--40-letiya-pobedy-52_1620140393;https://arenda-022.ru/images/upload/2021_05_6672_254428_Челябинск.jpg
Челябинск;Тракторозаводский;;Марченко;21А;33;2;1;10500;https://arenda-022.ru/sdam/kvartira--marchenko-21a_1620127050;https://arenda-022.ru/images/upload/2021_05_1633_932881_Челябинск.jpg
Челябинск;Курчатовский;;Маршала Чуйкова;29;40;3;1;11000;https://arenda-022.ru/sdam/kvartira--marshala-chuykova-29_1620175743;https://arenda-022.ru/images/upload/2021_05_9127_31932_Челябинск.jpg
Челябинск;Центральный;;Российская;73;32;1;1;12500;https://arenda-022.ru/sdam/kvartira-rossiyskaya-ul-73_1620202311;https://arenda-022.ru/images/upload/2021_05_5132_314934_Челябинск.jpg
Челябинск;Советский;;Овчинникова;6;64;8;3;25000;https://arenda-022.ru/sdam/kvartira--ovchinnikova-6_1620192204;https://arenda-022.ru/images/upload/2021_05_1929_853797_Челябинск.jpg
Челябинск;Калининский;;250-летия Челябинска;21;34;9;1;13000;https://arenda-022.ru/sdam/kvartira--250-letiya-chelyabinska-21_1620189974;https://arenda-022.ru/images/upload/2021_05_4724_177954_Челябинск.jpg
